Date,Close,High,Low,Open,Volume
2011-04-18,5729.100098,5897.899902,5722.25,5824.350098,121111083
2011-04-19,5740.75,5762.950195,5693.25,5716,101237488
2011-04-20,5851.649902,5857.350098,5759.649902,5786.049805,117896054
2011-04-21,5884.700195,5912.899902,5864.350098,5882.850098,119753918
2011-04-25,5874.5,5906.600098,5857,5859.600098,94377009
2011-04-26,5868.399902,5893.200195,5791.549805,5876.850098,117166769
2011-04-27,5833.899902,5892.350098,5819.950195,5884.200195,108740523
2011-04-28,5785.450195,5856.399902,5776.950195,5851.350098,159344933
2011-04-29,5749.5,5804.299805,5706.049805,5782.5,184751755
2011-05-02,5701.299805,5775.25,5687.700195,5766.899902,86514383
2011-05-03,5565.25,5710.799805,5554.850098,5689.700195,125522829
2011-05-04,5537.149902,5578.799805,5503,5567.700195,119083244
2011-05-05,5459.850098,5560.299805,5443.649902,5531.600098,126424541
2011-05-06,5551.450195,5564.399902,5472.450195,5477.649902,122684321
2011-05-09,5551.100098,5586.049805,5502.399902,5575.200195,75438946
2011-05-10,5541.25,5592.899902,5514.549805,5555.549805,88822800
2011-05-11,5565.049805,5574.700195,5525,5547.200195,82509136
2011-05-12,5486.149902,5572.5,5476.299805,5537.799805,91624740
2011-05-13,5544.75,5605,5472.149902,5492.350098,119423852
2011-05-16,5499,5541.799805,5487.649902,5541.700195,94219161
2011-05-17,5438.950195,5523.850098,5421.049805,5496.100098,109199263
2011-05-18,5420.600098,5460.5,5401.25,5448.200195,107357672
2011-05-19,5428.100098,5452.600098,5411.25,5448.149902,94180687
2011-05-20,5486.350098,5517.549805,5432.75,5450.649902,127399855
2011-05-23,5386.549805,5456.700195,5373,5456.700195,94674110
2011-05-24,5394.850098,5422.600098,5367.450195,5385.100098,100052471
2011-05-25,5348.950195,5389.100098,5328.700195,5389.100098,99917758
2011-05-26,5412.350098,5422.200195,5356.350098,5372.75,161608076
2011-05-27,5476.100098,5485.799805,5413.600098,5413.700195,117233303
2011-05-30,5473.100098,5509.299805,5458.600098,5493.75,100764849
2011-06-01,5592,5597.350098,5559.450195,5561.049805,149409715
